group,name,namespace,qualName,description,dataType,usage,vocabulary,comments,examples,status,GitHub issue,Darwin Core,ABCD,HISPID 3,HISPID 4,HISPID 5,Audubon Core,issued,modified
Identification,identificationVerificationStatus,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/identificationVerificationStatus,"Verification status of the identification, or an indication of how reliable the identification is deemed to be.",string,,,,,under consideration,https://github.com/hiscom/hispid/issues/16,identificationVerificationStatus,//Unit/Identifications/Identification/VerificationLevel,vlev,vlev,,,2015-07-11,2015-07-11
Identification,identifierRole,http://hiscom.chah.org.au/hispid/terms/,http://hiscom.chah.org.au/hispid/terms/identifierRole,Categorical indicator of the type of contribution made by the determiner.,string,,http://hiscom.rbg.vic.gov.au/hispid/vocabulary/identifier_role.xml,,,current,https://github.com/hiscom/hispid/issues/31,,//Unit/Identifications/Identification/Identifiers/IdentifierRole,det,det,,,2015-07-11,2015-07-11
Identification,identifiedBy,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/identifiedBy,"The name(s) of people, groups, or organisations who  identified the collection object.",string,,,,,current,,identifiedBy,//Unit/Identifications/Identification/Identifiers/IdentifiersText,vnam,vnam,,dwc:identifiedBy,2015-07-11,2015-07-11
Identification,dateIdentified,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/dateIdentified,The date on which the collection object was identified.,date,,,,,current,,dateIdentified,//Unit/Identifications/Identification/Date/ISODateTimeBegin,vdat,vdat,,dwc:dateIdentified,2015-07-11,2015-07-11
Identification,verbatimDateIdentified,http://hiscom.chah.org.au/hispid/terms/,http://hiscom.chah.org.au/hispid/terms/verbatimDateIdentified,The verbatim date of the Identification.,string,,,,,current,,,//Unit/Identifications/Identification/Date/DateText,textvdat,textvdat,,,2015-07-11,2015-07-11
Identification,identificationReferences,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/identificationReferences,References used for the Identification.,string,,,,,current,https://github.com/hiscom/hispid/issues/16,identificationReferences,,vlit,vlit,,,2015-07-11,2015-07-11
Identification,previousIdentifications,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/previousIdentifications,Previous identifications of the collection object.,string,It is preferrable to use the repeatable Identification elements in ABCD or the Identification extension in Darwin Core.,,,,current,,previousIdentifications,"//Unit/Identifications/Identification[PreferredFlag=""FALSE""]/*
or
//Unit/Identifications/IdentificationHistory",vhist,vhist,,,2015-07-11,2015-07-11
Identification,identificationRemarks,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/identificationRemarks,Any additional comments made by the determiner as part of the Identification.,string,,,,,current,,identificationRemarks,//Unit/Identifications/Identification/Notes,,idcom,,,2015-07-11,2015-07-11
Identification,typeStatusQualifier,http://hiscom.chah.org.au/hispid/terms/,http://hiscom.chah.org.au/hispid/terms/typeStatusQualifier,Standard term to qualify the type status designation.,string,,http://hiscom.rbg.vic.gov.au/hispid/vocabulary/type_status_qualifier.xml,,,current,,,//Unit/SpecimenUnit/NomenclaturalTypeDesignations/NomenclaturalTypeDesignation[0]/DoubtfulFlag,tql,tql,,,2015-07-11,2015-07-11
Identification,typeStatus,http://hiscom.chah.org.au/hispid/terms/,http://hiscom.chah.org.au/hispid/terms/typeStatus,Code indicating the type status of the collection object.,string,,http://hiscom.rbg.vic.gov.au/hispid/vocabulary/type_status.xml,"typeStatus has been placed in the HISPID namespace, even though it is available in Darwin Core, because our use is different. In contrast to Darwin Core, in HISPID typeStatus and typifiedName have been separated. Having typeStatus in the HISPID namespace allows us to transfer the type status including or excluding the typified name depending on what circumstances require.",,current,https://github.com/hiscom/hispid/issues/50,typeStatus,//Unit/SpecimenUnit/NomenclaturalTypeDesignations/NomenclaturalTypeDesignation[0]/TypeStatus,tsta,tsta,,,2015-07-11,2015-07-11
Identification,typifiedName,http://hiscom.chah.org.au/hispid/terms/,http://hiscom.chah.org.au/hispid/terms/typifiedName,The scientific name of which the collection object is a type.,string,,,,,current,,,//Unit/SpecimenUnit/NomenclaturalTypeDesignations/NomenclaturalTypeDesignation[0]/TypifiedName/FullScientificNameString,basnam,basnam,,,2015-07-11,2015-07-11
Taxon,taxonRank,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/taxonRank,Taxonomic rank of the taxon to which the collection object has been identified.,string,,http://rs.gbif.org/vocabulary/gbif/rank.xml,,"""subspecies""",current,,taxonRank,,,,,,2015-07-11,2015-07-11
Taxon,kingdom,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/kingdom,Full scientific name of the kingdom in which the taxon is classified,string,,,,"""Plantae""",current,,kingdom,"//Unit/Identifications/Identification/Result/TaxonIdentified/HigherTaxa/HigherTaxon[HigherTaxonRank=""regnum""]/HigherTaxonName",,,,,2015-07-11,2015-07-11
Taxon,phylum,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/phylum,Full scientific name of the phylum in which the taxon is classified,string,,,,"""Streptophyta""",current,,phylum,"//Unit/Identifications/Identification/Result/TaxonIdentified/HigherTaxa/HigherTaxon[HigherTaxonRank=""phylum""]/HigherTaxonName",,,,,2015-07-11,2015-07-11
Taxon,class,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/class,Full scientific name of the class in which the taxon is classified,string,,,,"""Equisetopsida""",current,,class,"//Unit/Identifications/Identification/Result/TaxonIdentified/HigherTaxa/HigherTaxon[HigherTaxonRank=""classis""]/HigherTaxonName",,,,,2015-07-11,2015-07-11
Taxon,order,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/order,Full scientific name of the order in which the taxon is classified,string,,,,"""Fabales""",current,,order,"//Unit/Identifications/Identification/Result/TaxonIdentified/HigherTaxa/HigherTaxon[HigherTaxonRank=""ordo""]/HigherTaxonName",,,,,2015-07-11,2015-07-11
Taxon,family,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/family,Full scientific name of the order in which the family is classified,string,,,,"""Fabaceae""",current,,family,"//Unit/Identifications/Identification/Result/TaxonIdentified/HigherTaxa/HigherTaxon[HigherTaxonRank=""familia""]/HigherTaxonName",fam,fam,,,2015-07-11,2015-07-11
Taxon,genus,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/genus,Full scientific name of the order in which the genus is classified,string,,,,"""Acacia""",current,,genus,//Unit/Identifications/Identification/Result/TaxonIdentified/ScientificName/NameAtomised/Botanical/GenusOrMonomial,gen,gen,,,2015-07-11,2015-07-11
Taxon,specificEpithet,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/specificEpithet,Species epithet of the scientific name.,string,,,,"""dealbata""",current,,specificEpithet,//Unit/Identifications/Identification/Result/TaxonIdentified/ScientificName/NameAtomised/Botanical/FirstEpithet,,sp,,,2015-07-11,2015-07-11
Taxon,infraspecificEpithet,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/infraspecificEpithet,Infraspecific epithet of the scientific name.,string,,,,"""subalpina""",current,,infraspecificEpithet,//Unit/Identifications/Identification/Result/TaxonIdentified/ScientificName/NameAtomised/Botanical/InfraspecificEpithet,isp,isp,,,2015-07-11,2015-07-11
Taxon,scientificNameID,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/scientificNameID,An identifier for the nomenclatural (not taxonomic) details of a scientific name.,string,,,,,under consideration,,scientificNameID,,,,,dwc:scientificNameID,2015-07-11,2015-07-11
Taxon,scientificName,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/scientificName,Full scientific name with authorship,string,,,,"""Dicranoloma menziesii (Taylor) Renauld""",current,,scientificName,//Unit/Identifications/Identification/Result/TaxonIdentified/ScientificName/FullScientificNameString,fulnam,fulnam,,dwc:scientificName,2015-07-11,2015-07-11
Taxon,scientificNameAuthorship,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/scientificNameAuthorship,Authorship of the scientific name formatted to the conventions of the applicable nomenclatural code.,string,,,"The parsing of the authorship into the authorship of the basionym and of the combination, as ABCD does, is discouraged. Also in ABCD the entire authorship should be delivered in AuthorTeam.","""L."", ""(Taylor) Renauld""",current,,scientificNameAuthorship,//Unit/Identifications/Identification/Result/TaxonIdentified/ScientificName/NameAtomised/Botanical/AuthorTeam,spau/ispau,spau/ispau,,,2015-07-11,2015-07-11
Taxon,nomenclaturalCode,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/nomenclaturalCode,Nomenclatural code under which the scientific name is applied.,string,,http://rs.gbif.org/vocabulary/gbif/nomenclatural_code.xml,,"""ICBN"", ""ICNCP""",new,,nomenclaturalCode,,,,,,2015-07-11,2015-07-11
Taxon,taxonRemarks,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/taxonRemarks,,,,,,,under consideration,https://github.com/hiscom/hispid/issues/66,taxonRemarks,//Unit/Identifications/Identification/Result/TaxonIdentified/NameComments,namcom,namcom,,,2015-07-11,2015-07-11
Taxon,vernacularName,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/vernacularName,A vernacular name assigned to the specimen.,string,,,"Only use when provided by the collector, e.g. when the collection is a result of ethnobotanical study.",,current,,vernacularName,,vernam,vernam,,dwc:vernacularName,2015-07-11,2015-07-11
Taxon,cultivarGroupName,http://hiscom.chah.org.au/hispid/terms/,http://hiscom.chah.org.au/hispid/terms/cultivarGroupName,Cultivar group name,string,Follow the conventions in the ICNCP.,,,,current,,,//Unit/Identifications/Identification/Result/TaxonIdentified/ScientificName/NameAtomised/Botanical/CultivarGroupName,culgnam,culgnam,,,2015-07-11,2015-07-11
Taxon,cultivarName,http://hiscom.chah.org.au/hispid/terms/,http://hiscom.chah.org.au/hispid/terms/cultivarName,Cultivar name,string,Follow the conventions in the ICNCP.,,,,current,,,//Unit/Identifications/Identification/Result/TaxonIdentified/ScientificName/NameAtomised/Botanical/CultivarGroupName,culnam,culnam,,,2015-07-11,2015-07-11
Taxon,tradeDesignation,http://hiscom.chah.org.au/hispid/terms/,http://hiscom.chah.org.au/hispid/terms/tradeDesignation,Trade designation,string,Follow the conventions in the ICNCP.,,,,current,,,//Unit/Identifications/Identification/Result/TaxonIdentified/ScientificName/NameAtomised/Botanical/TradeDesignationNames,tranam,tranam,,,2015-07-11,2015-07-11
Taxon,hybridFlag,http://hiscom.chah.org.au/hispid/terms/,http://hiscom.chah.org.au/hispid/terms/hybridFlag,"Flag to indicate whether the plant name refers to a hybrid, graft chimaera or intergrade, without reference to rank.",string,,,"The ABCD and HISPID 5 //Unit/Identifications/Identification/Result/TaxonIdentified/ScientificName/NameAtomised/Botanical/HybridFlag only applies to hybrid names (hybridFlag:""x"").",,under consideration,https://github.com/hiscom/hispid/issues/11,,,hyb,hyb,,,2015-07-11,2015-07-11
Taxon,hybridParent1,http://hiscom.chah.org.au/hispid/terms/,http://hiscom.chah.org.au/hispid/terms/hybridParent1,Scientific name of the first parent of a hybrid,string,,,,,under consideration,https://github.com/hiscom/hispid/issues/11,,,,,,,2015-07-11,2015-07-11
Taxon,hybridParent2,http://hiscom.chah.org.au/hispid/terms/,http://hiscom.chah.org.au/hispid/terms/hybridParent2,Scientific name of the second parent of a hybrid,string,,,,,under consideration,https://github.com/hiscom/hispid/issues/11,,,genhy2,genhy2,,,2015-07-11,2015-07-11
